;ID;title;semester;semester_start;inhalt_count;university;country;NER_GNDs
0;wien0001;Einf.PS: Neuere dt. Literaturwissenschaft I;wise00-01;2000-09;0;wien;Österreich;
1;wien0002;Seminar: Neuere deutsche Literatur;wise00-01;2000-09;0;wien;Österreich;
2;wien0003;SE: Neuere dt. Literatur-Poetik u.Transgression;wise00-01;2000-09;0;wien;Österreich;
3;wien0004;EPS: Neuere dt. Literaturwissenschaft II;wise00-01;2000-09;0;wien;Österreich;
4;wien0005;Proseminar: Neuere deutsche Literaten;wise00-01;2000-09;0;wien;Österreich;
5;wien0006;EPS: Neuere dt. Literaturwissenschaft I;wise00-01;2000-09;0;wien;Österreich;
6;wien0007;PS:Neuere deutsche Literatur -Literarische Utopien;wise00-01;2000-09;0;wien;Österreich;
7;wien0008;Einf. PS. Neuere dt. Literaturwissenschaft;wise00-01;2000-09;0;wien;Österreich;
8;wien0009;SE: Neuere dt. Literatur - Verlage u.ihre Verleger;wise00-01;2000-09;0;wien;Österreich;
9;wien0010;PS: Neuere dt.Literatur - Narratologie;wise00-01;2000-09;0;wien;Österreich;
10;wien0011;EPS.: Neuere dt. Literaturwissenschaft II;wise00-01;2000-09;0;wien;Österreich;
11;wien0012;PS: Neuere dt.Lit. - Romane Albert Drachs;wise00-01;2000-09;0;wien;Österreich;
12;wien0013;EPS: Neuere dt. Literaturwissenschaft I;wise00-01;2000-09;0;wien;Österreich;
13;wien0014;EPS: Neuere dt. Literaturwissenschaft II;wise00-01;2000-09;0;wien;Österreich;
14;wien0015;EPS: Neuere dt. Literaturwiss. II;wise00-01;2000-09;0;wien;Österreich;
15;wien0016;Einf.PS: Neuere dt. Literaturwissenschaft I;wise00-01;2000-09;0;wien;Österreich;
16;wien0017;PS:Neuere dt.Literatur - Masse und Manipulation;wise00-01;2000-09;0;wien;Österreich;
17;wien0018;EPS: Neuere dt. Literaturwissenschaft I;wise00-01;2000-09;0;wien;Österreich;
18;wien0019;VO:Neuere dt.Lit.-Geschichte d.Lit.Österreichs III;wise00-01;2000-09;0;wien;Österreich;
19;wien0020;EPS: Neuere dt. Literaturwissenschaft I;wise00-01;2000-09;0;wien;Österreich;
20;wien0021;EPS: Neuere dt. Literaturwissenschaft I;wise00-01;2000-09;0;wien;Österreich;
21;wien0022;SE: Neuere deutsche Literatur;wise00-01;2000-09;0;wien;Österreich;
22;wien0023;SE: Neuere dt. Literatur - Rainer Maria Rilke;wise00-01;2000-09;0;wien;Österreich;
23;wien0024;Novellenkunst der Romantik;wise00-01;2000-09;0;wien;Österreich;
24;wien0025;Einf.PS: Neuere dt. Literaturwissenschaft I;wise00-01;2000-09;0;wien;Österreich;
25;wien0026;SE: Neuere dt. Literatur-Poetik u.Transgression;wise00-01;2000-09;0;wien;Österreich;
26;wien0027;EPS: Neuere dt. Literaturwissenschaft II;wise00-01;2000-09;0;wien;Österreich;
27;wien0028;EPS: Neuere dt. Literaturwissenschaft I;wise00-01;2000-09;0;wien;Österreich;
28;wien0029;Einf. PS. Neuere dt. Literaturwissenschaft;wise00-01;2000-09;0;wien;Österreich;
29;wien0030;SE: Neuere dt. Literatur - Verlage u.ihre Verleger;wise00-01;2000-09;0;wien;Österreich;
30;wien0031;EPS.: Neuere dt. Literaturwissenschaft II;wise00-01;2000-09;0;wien;Österreich;
31;wien0032;EPS: Neuere dt. Literaturwissenschaft I;wise00-01;2000-09;0;wien;Österreich;
32;wien0033;EPS: Neuere dt. Literaturwissenschaft II;wise00-01;2000-09;0;wien;Österreich;
