Hein_Benennung;GND-Nummer;Gesamt_count;Epoche_Hein
Grimmelshausen;118542273;17 (9);Barock bis Aufklärung
Gryphius;118543032;17 (10);Barock bis Aufklärung
Opitz;118590111;4;Barock bis Aufklärung
Günther;;2;Barock bis Aufklärung
Weise;118630369;2;Barock bis Aufklärung
Brockes;116551968;1;Barock bis Aufklärung
Fleming;118533908;1;Barock bis Aufklärung
Harsdörffer;;1;Barock bis Aufklärung
Kuhlmann;;1;Barock bis Aufklärung
Lohenstein;118574078;1;Barock bis Aufklärung
Sachs;132638134;1;Barock bis Aufklärung
Wickram;118632272;1;Barock bis Aufklärung
Lessing;118572121;68 (36);Aufklärung bis Klassik
Lenz;118571656;15 (7);Aufklärung bis Klassik
Moritz;118584162;13 (7);Aufklärung bis Klassik
Klopstock;118563386;11 (3);Aufklärung bis Klassik
Lichtenberg;118572628;7 (4);Aufklärung bis Klassik
Gottsched;118696734;6 (2);Aufklärung bis Klassik
Gellert;118538322;5 (3);Aufklärung bis Klassik
Forster;;4 (1);Aufklärung bis Klassik
Bürger;118517104;3;Aufklärung bis Klassik
Heinse;118548565;3;Aufklärung bis Klassik
Klinger;118563319;3;Aufklärung bis Klassik
Claudius;118521098;2;Aufklärung bis Klassik
Wezel;118632108;2;Aufklärung bis Klassik
Hagedorn;118700421;1;Aufklärung bis Klassik
Haller;118545140;1;Aufklärung bis Klassik
Hölty;;1;Aufklärung bis Klassik
Hamann;11854523X;1;Aufklärung bis Klassik
Voß;100689590;1;Aufklärung bis Klassik
Goethe;118540238;293 (145);Klassik und Romantik
Schiller;118607626;92 (35);Klassik und Romantik
Hölderlin;118551981;57 (38);Klassik und Romantik
Kleist;118563076;56 (28);Klassik und Romantik
Heine;118548018;55 (20);Klassik und Romantik
Jean Paul;118557211;40 (23);Klassik und Romantik
Hoffmann;118552465;35 (15);Klassik und Romantik
Eichendorff;118529390;23 (11);Klassik und Romantik
Novalis;118588893;21 (14);Klassik und Romantik
Herder;118549553;21 (14);Klassik und Romantik
Brentano;118515055;19 (13);Klassik und Romantik
Wieland;118632477;18 (8);Klassik und Romantik
Tieck;12989432X;17 (9);Klassik und Romantik
A. v. Arnim;118504177;7;Klassik und Romantik
F. Schlegel;118607987;7;Klassik und Romantik
B. v. Arnim;118504185;4;Klassik und Romantik
Lenau;118571508;4;Klassik und Romantik
Wackenroder;118628097;4;Klassik und Romantik
Winckelmann;;3;Klassik und Romantik
La Roche;118569767;2;Klassik und Romantik
Chamisso;;2;Klassik und Romantik
Kerner;118561545;1;Klassik und Romantik
Motte-Fouque;118534556;1;Klassik und Romantik
Seume;;1;Klassik und Romantik
Fontane;118534262;47 (22);Literatur bis zur Jahrhundertwende
Büchner;118516906;45 (23);Literatur bis zur Jahrhundertwende
Keller;11856109X;33 (19);Literatur bis zur Jahrhundertwende
Nietzsche;118587943;30 (16);Literatur bis zur Jahrhundertwende
Mörike;118583107;24 (11);Literatur bis zur Jahrhundertwende
Stifter;118618156;23 (10);Literatur bis zur Jahrhundertwende
Grillparzer;118542192;18 (7);Literatur bis zur Jahrhundertwende
Hauptmann;118546937;16 (9);Literatur bis zur Jahrhundertwende
Raabe;118597442;14 (7);Literatur bis zur Jahrhundertwende
R. Wagner;118594117;11 (7);Literatur bis zur Jahrhundertwende
Hebbel;118547445;10 (5);Literatur bis zur Jahrhundertwende
Grabbe;118541102;9 (3);Literatur bis zur Jahrhundertwende
C.F. Meyer;118581775;9 (3);Literatur bis zur Jahrhundertwende
Immermann;118555553;8;Literatur bis zur Jahrhundertwende
Nestroy;118587080;8;Literatur bis zur Jahrhundertwende
Storm;118618725;8;Literatur bis zur Jahrhundertwende
Droste-Hülshoff;118527533;6;Literatur bis zur Jahrhundertwende
Gotthelf;118540963;6;Literatur bis zur Jahrhundertwende
Gutzkow;118543830;5;Literatur bis zur Jahrhundertwende
May;118818651;5;Literatur bis zur Jahrhundertwende
Freytag;118535455;4;Literatur bis zur Jahrhundertwende
Holz;118553216;4;Literatur bis zur Jahrhundertwende
Spielhagen;;4;Literatur bis zur Jahrhundertwende
Börne;118512749;3;Literatur bis zur Jahrhundertwende
Busch;118517880;2;Literatur bis zur Jahrhundertwende
Laube;118570080;2;Literatur bis zur Jahrhundertwende
Marlitt;118731092;2;Literatur bis zur Jahrhundertwende
