;Bevorzugter Name;Ländercode;Beruf oder Beschäftigung;GND-Nummer;Geburtsdatum;Geschlecht;Austrian;German;Swiss;Land
0;Kimmich, Dorothee;Deutschland;Literaturwissenschaftler;124680755;1961;Weiblich;0.0;1.0;0.0;D
1;Hanika, Iris;Deutschland;Schriftsteller;124637140;1962;Weiblich;0.0;1.0;0.0;D
2;Kriegleder, Wynfrid;Österreich;"Germanist; Anglist; Autor; Hochschullehrer";113638205;1958;Männlich;1.0;0.0;0.0;Ö
3;Rüter, Christoph;Deutschland;"Regisseur; Drehbuchautor; Kameramann; Filmproduzent; Filmschaffender";139784683;1957-01-01;Männlich;0.0;1.0;0.0;D
4;Lewinsky, Charles;"Deutschland;Europa";"Schriftsteller; Dramaturg; Fernsehredakteur; Regisseur; Drehbuchautor; Regisseur; Dramaturg";115714987;1946-04-14;Männlich;0.0;1.0;1.0;D,S
5;Kushner, Eva;"Tschechische Republik;Kanada";"Romanist; Literaturwissenschaftler; Hochschullehrer";1036441369;1929;Weiblich;0.0;0.0;0.0;
7;Assmann, Aleida;Deutschland;"Anglist; Literaturwissenschaftler; Kulturwissenschaftler; Hochschullehrer; Regisseur";121012700;1947-03-22;Weiblich;0.0;1.0;0.0;D
8;Kirsch, Sarah;Deutschland;"Lyriker; Maler; Biolog; Librettist; Schriftsteller";118562487;1935-04-16;Weiblich;0.0;1.0;0.0;D
9;Savinkov, Boris V.;"Russland;Ukraine";"Schriftsteller; Politiker";118804855;1879;Männlich;0.0;0.0;0.0;
10;Glaser, Horst Albert;Deutschland;"Germanist; Literaturwissenschaftler";115808612;1935;Männlich;0.0;1.0;0.0;D
11;Bohlinger, Don;Land unbekannt;"Schriftsteller; Drehbuchautor; Dramaturg";137682069;1956-04;Männlich;0.0;0.0;0.0;
12;Smith, Patti;USA;"Musiker; Rocksänger; Schriftsteller; Zeichner; Fotograf; Schriftsteller";118748556;1946-12-30;Weiblich;0.0;0.0;0.0;
13;Salomon, Ernst von;"USA;Deutschland";"Schriftsteller; Drehbuchautor; Schriftsteller";118605151;1902-09-25;Männlich;0.0;1.0;0.0;D
14;Agamben, Giorgio;Italien;"Philosoph; Literaturwissenschaftler; Hochschullehrer; Essayist";119293439;1942-04-22;Männlich;0.0;0.0;0.0;
15;Walther, von der Vogelweide;Deutschland;"Schriftsteller; Troubadour; Liederdichter";118628976;1170;Männlich;0.0;1.0;0.0;D
16;Tieck, Dorothea;Deutschland;Übersetzer;11737606X;1799-03-26;Weiblich;0.0;1.0;0.0;D
17;Meslier, Jean;Frankreich;Theologe;118581295;1664-06-15;Männlich;0.0;0.0;0.0;
18;Klinger, Friedrich Maximilian von;Deutschland;"Schriftsteller; Dramatiker; Generalleutnant; Lyriker";118563319;1752-02-17;Männlich;0.0;1.0;0.0;D
19;Augé, Marc;Frankreich;"Ethnologe; Anthropologe";124840884;1935-09-02;Männlich;0.0;0.0;0.0;
20;Hempfer, Klaus W.;Deutschland;Philologe;108151751;1942;Männlich;0.0;1.0;0.0;D
21;Lem, Stanisław;Polen;"Schriftsteller; Philosoph";118571419;1921-09-12;Männlich;0.0;0.0;0.0;
22;Mechtel, Angelika;Deutschland;"Schriftsteller; Kinderbuchautor";118782797;1943;Weiblich;0.0;1.0;0.0;D
23;Folz, Hans;Deutschland;"Meistersinger; Barbier; Arzt";118534211;1435;Männlich;0.0;1.0;0.0;D
24;Mason, Zachary;USA;"Informatiker; Schriftsteller";141775769;1974-02-26;Männlich;0.0;0.0;0.0;
25;Herrmann, Elisabeth;Deutschland;"Schriftsteller; Kriminalschriftsteller; Journalist; Drehbuchautor";120025507;1959;Weiblich;0.0;1.0;0.0;D
26;Herz, Henriette;Deutschland;"Übersetzer; Schriftsteller; Erzieher";118550152;1764-09-05;Weiblich;0.0;1.0;0.0;D
27;Wertheimer, Jürgen;Deutschland;"Germanist; Literaturwissenschaftler";121398218;1947;Männlich;0.0;1.0;0.0;D
28;Siblewski, Klaus;Deutschland;"Germanist; Lektor <Verlag>";115702059;1950;Männlich;0.0;1.0;0.0;D
29;Lessing, Gotthold Ephraim;Deutschland;"Schriftsteller; Kritiker; Philosoph; Bibliothekar; Lyriker";118572121;1729-01-22;Männlich;0.0;1.0;0.0;D
30;Marie, de France;Frankreich;Schriftsteller;118577883;1135;Unbekannt;0.0;0.0;0.0;
31;Ziebritzki, Henning;Deutschland;Lyriker;120066866;1961;Männlich;0.0;1.0;0.0;D
32;Mandelkow, Karl Robert;"Niederlande;Deutschland";"Germanist; Philologe";12283299X;1926;Männlich;0.0;1.0;0.0;D
33;Kobi, Valérie;Europa;Kunsthistoriker;1137837713;;Weiblich;0.0;0.0;1.0;S
35;Petersen, Jürgen H.;Deutschland;Literaturwissenschaftler;108448568;1937-02-08;Männlich;0.0;1.0;0.0;D
38;Reuter, Julia;Deutschland;Autor;120290002X;1989;Weiblich;0.0;1.0;0.0;D
39;Mann, Erika;"Europa;Deutschland;USA";"Schriftsteller; Kabarettist; Dramatiker; Drehbuchautor; Journalist; Kriegsberichterstatter; Schauspieler; Librettist; Sänger; Schauspieler";118747436;1905-11-09;Weiblich;0.0;1.0;1.0;D,S
40;Kemper, Dirk;"Russland;Deutschland";"Philologe; Germanist";14343537X;1959;Männlich;0.0;1.0;0.0;D
41;Turk, Horst;Deutschland;"Germanist; Literaturwissenschaftler";11946098X;1935;Männlich;0.0;1.0;0.0;D
42;Ribbat, Ernst;Deutschland;Germanist;1016764049;1939;Männlich;0.0;1.0;0.0;D
43;Poschmann, Marion;Deutschland;Schriftsteller;123707021;1969;Weiblich;0.0;1.0;0.0;D
44;Klatzmann, Joseph;Frankreich;"Agrarwissenschaftler; Demograph";143900153;1921;Männlich;0.0;0.0;0.0;
45;Brockes, Barthold Heinrich;Deutschland;"Schriftsteller; Maler; Legationsrat";116551968;1715-10-15;Männlich;0.0;1.0;0.0;D
46;Reifenberg, Benno;Deutschland;"Schriftsteller; Publizist; Journalist; Kunstkritiker";11874402X;1892-07-16;Männlich;0.0;1.0;0.0;D
47;Bernstein, F. W.;Deutschland;"Pädagoge; Cartoonist; Karikaturist; Grafiker; Schriftsteller; Satiriker; Hochschullehrer";11876621X;1938-03-04;Männlich;0.0;1.0;0.0;D
48;Almond, Philip C.;Australien;"Historiker; Religionswissenschaftler; Hochschullehrer";1049483294;1950;Männlich;0.0;0.0;0.0;
49;Mayer, Günter;Deutschland;"Jurist; Autor";131774794;;Männlich;0.0;1.0;0.0;D
50;Quaschning, Volker;Deutschland;"Elektroingenieur; Hochschullehrer";114654263;1969;Männlich;0.0;1.0;0.0;D
51;Loschütz, Gert;Deutschland;"Schriftsteller; Dramatiker; Drehbuchautor; Übersetzer; Schriftsteller";120771144;1946-10-09;Männlich;0.0;1.0;0.0;D
52;Horňáček, Milan;"Deutschland;Tschechische Republik";Germanist;1091588759;1977;Männlich;0.0;1.0;0.0;D
53;Stanišić, Saša;"Deutschland;Bosnien-Herzegowina";"Schriftsteller; Drehbuchautor; Kinderbuchautor";132082179;1978-03-07;Männlich;0.0;1.0;0.0;D
54;Bausinger, Hermann;Deutschland;"Ethnologe; Kulturwissenschaftler; Volkskundler; Linguist";119262991;1926-09-17;Männlich;0.0;1.0;0.0;D
55;Gay, John;Großbritannien;"Schriftsteller; Komponist; Librettist; Schriftsteller";118716573;1685-09-10;Männlich;0.0;0.0;0.0;
56;Clair, Jean;Frankreich;"Kunsthistoriker; Museumsdirektor; Schriftsteller; Essayist";120193183;1940;Männlich;0.0;0.0;0.0;
57;Dickinson, Emily;USA;"Lyriker; Librettist";118525255;1830-12-10;Weiblich;0.0;0.0;0.0;
58;Dach, Simon;"Litauen;Deutschland;Russland";"Schriftsteller; Philosoph; Theologe; Hochschullehrer; Komponist; Schriftsteller; Dramatiker";11852321X;1605-07-29;Männlich;0.0;1.0;0.0;D
59;Juan, Don;Land unbekannt;Musiker;134420489;;Männlich;0.0;0.0;0.0;
60;Goetz, Rainald;Deutschland;"Schriftsteller; Psychologe; Historiker; Musiker; Librettist; Schriftsteller";119501651;1954-05-24;Männlich;0.0;1.0;0.0;D
62;Steinaecker, Thomas von;Deutschland;"Schriftsteller; Filmregisseur; Journalist; Literaturwissenschaftler; Regisseur";132866676;1977;Männlich;0.0;1.0;0.0;D
63;Shaleṿ, Tseruyah;Israel;Schriftsteller;12184837X;1959-04-13;Weiblich;0.0;0.0;0.0;
64;Frölich, Henriette;Deutschland;Schriftsteller;131967630;1768-07-28;Weiblich;0.0;1.0;0.0;D
65;Gittinger, Kerstin;Österreich;"Lehrer; Literaturwissenschaftler";1127082000;1987;Weiblich;1.0;0.0;0.0;Ö
66;Frischmuth, Barbara;Österreich;"Schriftsteller; Übersetzer";118693727;1941-07-05;Weiblich;1.0;0.0;0.0;Ö
