;GND-ID;occupation_GND;birth_GND;gender_GND;death_GND;country_GND
0;118544918;"Schriftsteller; Lyriker; Publizist; Nonne";1805-06-22;Weiblich;1880-01-12;"Frankreich; Deutschland"
1;120376555;Literaturwissenschaftler;1959;Männlich;;Deutschland
2;118577166;"Nobelpreisträger; Musiker; Intellektueller; Schriftsteller";1875-06-06;Männlich;1955-08-12;"Deutschland; Japan; Europa; USA"
3;17415769X;"Musikwissenschaftler; Hochschullehrer; Museumsleiter";1963;Männlich;;Europa
4;1014025915;;;Unbekannt;;Belgien
5;118570366;"Schriftsteller; Offizier; Archäologe; Geheimagent";1888-08-16;Männlich;1935-05-19;Großbritannien
6;133347931;"Schriftsteller; Architekt";1974;Männlich;;Deutschland
7;118552465;"Komponist; Schriftsteller; Kapellmeister; Zeichner; Jurist";1776-01-24;Männlich;1822-06-25;Deutschland
8;115850244;Kulturwissenschaftler;1956;Männlich;;Österreich
9;1049654188;"Verleger; Lyriker; Schriftsteller";1941;Männlich;;Deutschland
10;115834087;"Literaturkritiker; Schriftsteller; Lyriker; Librettist; Mediävist; Übersetzer";1962-01-20;Weiblich;;Deutschland
11;118500422;"Schriftsteller; Schauspieler; Regisseur; Maler; Drehbuchautor; Filmproduzent";1938-11-23;Männlich;2022-01-10;Deutschland
12;118515055;"Lyriker; Schriftsteller; Librettist";1778-09-09;Männlich;1842-07-28;Deutschland
13;142992216;"Hochschullehrer; Philologe";1959;Männlich;;Deutschland
14;131967630;Schriftsteller;1768-07-28;Weiblich;1833-04-05;Deutschland
15;121602060;"Dozent; Übersetzer";1933-05-14;Männlich;;Italien
16;118504177;"Dramatiker; Schriftsteller; Liederdichter";1781-01-26;Männlich;1831-01-21;Deutschland
17;121027864;Germanist;1960;Männlich;;Deutschland
18;1226700802;Schauspieler;;Männlich;;Land unbekannt
19;1036723801;"Germanist; Publizist; Philosoph";;Weiblich;;Deutschland
20;119104687;"Schriftsteller; Nobelpreisträger";1952;Männlich;;Türkei
21;130674966;"Philologe; Germanist";1932;Männlich;;"Deutschland; USA"
22;113749678;Schriftsteller;1943;Weiblich;;Italien
23;115812482;"Schriftsteller; Lyriker";1963;Männlich;;Deutschland
24;118623575;"Schriftsteller; Lyriker; Apotheker; Librettist";1887-02-03;Männlich;1914-11-03;"Polen; Österreich; Deutschland"
25;115443193;Philosoph;1941;Weiblich;;
26;118539507;"Literaturkritiker; Religionswissenschaftler; Hochschullehrer; Philologe; Kulturanthropologe; Historiker; Schriftsteller";1923-12-25;Männlich;2015-11-04;Frankreich
27;118778277;"Schriftsteller; Bibliothekar";1813-11-30;Männlich;1873-10-10;Deutschland
28;115730001;"Schriftsteller; Regisseur; Sänger";1954;Männlich;;Deutschland
29;1045265977;"Philologe; Germanist; Hochschullehrer";1937-06-20;Weiblich;;Deutschland
30;118609475;"Verleger; Journalist; Chirurg; Schriftsteller";1692;Männlich;1750;Deutschland
31;116143088;Germanist;1887-03-20;Männlich;1917-08-04;Deutschland
32;11855817X;Schriftsteller;1934-07-20;Männlich;1984-02-24;"Deutschland; Großbritannien"
33;119033364;Schriftsteller;1952-03-11;Männlich;2001-05-11;"Großbritannien; USA"
34;11862833X;"Schriftsteller; Dramatiker; Jurist";1747-02-19;Männlich;1779-03-04;"Deutschland; Frankreich"
35;116159464;"Hofrat; Freimaurer; Germanist; Literarhistoriker; Schriftsteller; Stenograf";1834-07-13;Männlich;1906-03-17;Deutschland
36;116961538;"Literarhistoriker; Germanist; Hochschullehrer";1886-05-26;Männlich;1971-11-25;Deutschland
37;11864291X;"Schriftsteller; Pazifist; Schriftsteller";1828-09-09;Männlich;1910-11-20;"Sowjetunion; Russland"
38;1019297360;"Revolutionär; Aufständischer; Bauer";1787;Männlich;1860;"Österreich; Polen"
39;118614649;"Übersetzer; Journalist; Schriftsteller; Nobelpreisträger";1902-11-21;Männlich;1991-07-24;"USA; Polen; Juden"
40;1147085781;Verleger;1900;Männlich;;Deutschland
41;134235703;"Übersetzer; Lektorin <Verlag>; Autor; Literaturwissenschaftler; Amerikanistik";1972;Weiblich;;Deutschland
42;118664123;"Philosoph; Hochschullehrer; Schriftsteller";1920-07-13;Männlich;1996-03-28;Deutschland
43;1074259165;"Philosoph; Hochschullehrer";1958;Weiblich;;Brasilien
44;1092051929;;;;;Land unbekannt
45;123553148;Schriftsteller;1977;Männlich;;Österreich
46;1061697142;"Filmeditor; Filmproduzent; Regisseur; Kamerafrau; Drehbuchautor";1967;Weiblich;;
47;118911627;"Nobelpreisträger; Hochschullehrer; Jugendbuchautor; Schriftsteller";1931-02-18;Weiblich;2019-08-05;USA
48;115727795;"Schriftsteller; Lyriker; Dramatiker";1967;Männlich;;Deutschland
49;1141710307;"Schriftsteller; Lehrer";1989;Weiblich;;Europa
50;128625732;Schriftsteller;1942;Weiblich;;"Deutschland; Österreich"
51;118580779;"Pianist; Organist; Komponist; Musiker; Dirigent";1809-02-03;Männlich;1847-11-04;Deutschland
52;137110677;Philologe;1960;Männlich;;"Chile; Deutschland"
