;wien_total;wien_rel;wien_total_M;wien_total_F;wien_rel_F;wien_rel_M;wien_relrel_F;wien_relrel_M;graz_total;graz_rel;graz_total_M;graz_total_F;graz_rel_F;graz_rel_M;graz_relrel_F;graz_relrel_M;basel_total;basel_rel;basel_total_M;basel_total_F;basel_rel_F;basel_rel_M;basel_relrel_F;basel_relrel_M;chemnitz_total;chemnitz_rel;chemnitz_total_M;chemnitz_total_F;chemnitz_rel_F;chemnitz_rel_M;chemnitz_relrel_F;chemnitz_relrel_M;erfurt_total;erfurt_rel;erfurt_total_M;erfurt_total_F;erfurt_rel_F;erfurt_rel_M;erfurt_relrel_F;erfurt_relrel_M;halle_total;halle_rel;halle_total_M;halle_total_F;halle_rel_F;halle_rel_M;halle_relrel_F;halle_relrel_M;marburg_total;marburg_rel;marburg_total_M;marburg_total_F;marburg_rel_F;marburg_rel_M;marburg_relrel_F;marburg_relrel_M;mainz_total;mainz_rel;mainz_total_M;mainz_total_F;mainz_rel_F;mainz_rel_M;mainz_relrel_F;mainz_relrel_M;stuttgart_total;stuttgart_rel;stuttgart_total_M;stuttgart_total_F;stuttgart_rel_F;stuttgart_rel_M;stuttgart_relrel_F;stuttgart_relrel_M;semester_start
0;0;0.0;;;;;;;0;0.0;;;;;;;0;0.0;;;;;;;0;0.0;;;;;;;0;0.0;;;;;;;0;0.0;;;;;;;0;0.0;;;;;;;0;0.0;;;;;;;0;0.0;;;;;;;2000-09-01
1;38;0.05397727272727273;17.0;21.0;0.5526315789473685;0.4473684210526316;0.000784988038277512;0.0006354665071770334;0;0.0;;;;;;;0;0.0;;;;;;;0;0.0;;;;;;;0;0.0;;;;;;;0;0.0;;;;;;;0;0.0;;;;;;;0;0.0;;;;;;;0;0.0;;;;;;;2001-04-01
2;0;0.0;;;;;;;0;0.0;;;;;;;0;0.0;;;;;;;0;0.0;;;;;;;0;0.0;;;;;;;0;0.0;;;;;;;0;0.0;;;;;;;0;0.0;;;;;;;0;0.0;;;;;;;2001-09-01
3;0;0.0;;;;;;;0;0.0;;;;;;;0;0.0;;;;;;;0;0.0;;;;;;;0;0.0;;;;;;;0;0.0;;;;;;;0;0.0;;;;;;;0;0.0;;;;;;;0;0.0;;;;;;;2002-04-01
4;0;0.0;;;;;;;51;0.03642857142857143;40.0;11.0;0.21568627450980393;0.7843137254901961;0.00015406162464985996;0.0005602240896358543;0;0.0;;;;;;;0;0.0;;;;;;;0;0.0;;;;;;;0;0.0;;;;;;;0;0.0;;;;;;;0;0.0;;;;;;;0;0.0;;;;;;;2002-09-01
5;0;0.0;;;;;;;38;0.027142857142857142;34.0;4.0;0.10526315789473684;0.8947368421052632;7.518796992481203e-05;0.0006390977443609023;0;0.0;;;;;;;0;0.0;;;;;;;0;0.0;;;;;;;0;0.0;;;;;;;0;0.0;;;;;;;0;0.0;;;;;;;0;0.0;;;;;;;2003-04-01
6;0;0.0;;;;;;;8;0.005714285714285714;7.0;0.0;0.0;0.875;0.0;0.000625;0;0.0;;;;;;;0;0.0;;;;;;;0;0.0;;;;;;;0;0.0;;;;;;;0;0.0;;;;;;;0;0.0;;;;;;;0;0.0;;;;;;;2003-09-01
7;0;0.0;;;;;;;0;0.0;;;;;;;0;0.0;;;;;;;0;0.0;;;;;;;0;0.0;;;;;;;0;0.0;;;;;;;0;0.0;;;;;;;0;0.0;;;;;;;0;0.0;;;;;;;2004-04-01
8;37;0.052556818181818184;37.0;0.0;0.0;1.0;0.0;0.0014204545454545455;1;0.0007142857142857143;1.0;0.0;0.0;1.0;0.0;0.0007142857142857143;0;0.0;;;;;;;0;0.0;;;;;;;0;0.0;;;;;;;0;0.0;;;;;;;0;0.0;;;;;;;0;0.0;;;;;;;0;0.0;;;;;;;2004-09-01
9;11;0.015625;11.0;0.0;0.0;1.0;0.0;0.0014204545454545455;10;0.007142857142857143;10.0;0.0;0.0;1.0;0.0;0.0007142857142857143;0;0.0;;;;;;;0;0.0;;;;;;;0;0.0;;;;;;;0;0.0;;;;;;;0;0.0;;;;;;;0;0.0;;;;;;;0;0.0;;;;;;;2005-04-01
