;total_graz;total_mainz;total_chemnitz;total_basel;total_stuttgart;total_marburg;total_halle;total_wien;total_erfurt;rel_graz;rel_mainz;rel_chemnitz;rel_basel;rel_stuttgart;rel_marburg;rel_halle;rel_wien;rel_erfurt;total_A;total_S;total_G;rel_G;rel_A;rel_S
118544918;0;0;0;1;0;0;0;0;0;0.0;0.0;0.0;0.0016051364365971107;0.0;0.0;0.0;0.0;0.0;0;1;0;0.0;0.0;0.0016051364365971107
118577166;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;0.0
118570366;0;0;0;1;0;0;0;0;2;0.0;0.0;0.0;0.0016051364365971107;0.0;0.0;0.0;0.0;0.006230529595015576;0;1;2;0.0010384215991692627;0.0;0.0016051364365971107
133347931;0;0;0;0;0;0;2;3;0;0.0;0.0;0.0;0.0;0.0;0.0;0.001549186676994578;0.004261363636363636;0.0;3;0;2;0.00025819777949909634;0.002130681818181818;0.0
118552465;0;0;0;0;0;0;2;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.001549186676994578;0.0;0.0;0;0;2;0.00025819777949909634;0.0;0.0
1049654188;0;0;0;0;0;2;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0045871559633027525;0.0;0.0;0.0;0;0;2;0.0007645259938837921;0.0;0.0
115834087;2;0;0;0;0;0;0;2;0;0.0014285714285714286;0.0;0.0;0.0;0.0;0.0;0.0;0.002840909090909091;0.0;4;0;0;0.0;0.0021347402597402597;0.0
118500422;0;0;0;0;6;0;0;0;0;0.0;0.0;0.0;0.0;0.00881057268722467;0.0;0.0;0.0;0.0;0;0;6;0.0014684287812041117;0.0;0.0
118515055;7;3;2;8;3;4;11;6;1;0.005;0.005555555555555556;0.015267175572519083;0.012841091492776886;0.004405286343612335;0.009174311926605505;0.008520526723470178;0.008522727272727272;0.003115264797507788;13;8;24;0.007673020153211741;0.0067613636363636365;0.012841091492776886
131967630;0;0;0;0;0;0;0;2;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.002840909090909091;0.0;2;0;0;0.0;0.0014204545454545455;0.0
