;GND-ID;Name_identifiziert;occupation_GND;birth_GND;gender;death_GND;country_GND;country_norm
0;118544918;Hahn-Hahn, Ida, Gräfin;"Schriftsteller; Lyriker; Publizist; Nonne";1805-06-22;Weiblich;1880-01-12;"Frankreich; Deutschland";D
1;118577166;Mann, Thomas;"Nobelpreisträger; Musiker; Intellektueller; Schriftsteller";1875-06-06;Männlich;1955-08-12;"Deutschland; Japan; Europa; USA";D,S
2;118570366;Lawrence, Thomas E.;"Schriftsteller; Offizier; Archäologe; Geheimagent";1888-08-16;Männlich;1935-05-19;Großbritannien;
3;133347931;Borries, Friedrich von;"Schriftsteller; Architekt";1974;Männlich;;Deutschland;D
4;118552465;Hoffmann, E. T. A.;"Komponist; Schriftsteller; Kapellmeister; Zeichner; Jurist";1776-01-24;Männlich;1822-06-25;Deutschland;D
5;1049654188;Lenz, Dieter;"Verleger; Lyriker; Schriftsteller";1941;Männlich;;Deutschland;D
6;115834087;Draesner, Ulrike;"Literaturkritiker; Schriftsteller; Lyriker; Librettist; Mediävist; Übersetzer";1962-01-20;Weiblich;;Deutschland;D
7;118500422;Achternbusch, Herbert;"Schriftsteller; Schauspieler; Regisseur; Maler; Drehbuchautor; Filmproduzent";1938-11-23;Männlich;2022-01-10;Deutschland;D
8;118515055;Brentano, Clemens;"Lyriker; Schriftsteller; Librettist";1778-09-09;Männlich;1842-07-28;Deutschland;D
9;131967630;Frölich, Henriette;Schriftsteller;1768-07-28;Weiblich;1833-04-05;Deutschland;D
10;118504177;Arnim, Achim von;"Dramatiker; Schriftsteller; Liederdichter";1781-01-26;Männlich;1831-01-21;Deutschland;D
11;119104687;Pamuk, Orhan;"Schriftsteller; Nobelpreisträger";1952;Männlich;;Türkei;
12;113749678;Ferrante, Elena;Schriftsteller;1943;Weiblich;;Italien;
13;115812482;Altmann, Andreas;"Schriftsteller; Lyriker";1963;Männlich;;Deutschland;D
14;118623575;Trakl, Georg;"Schriftsteller; Lyriker; Apotheker; Librettist";1887-02-03;Männlich;1914-11-03;"Polen; Österreich; Deutschland";D,Ö
15;118539507;Girard, René;"Literaturkritiker; Religionswissenschaftler; Hochschullehrer; Philologe; Kulturanthropologe; Historiker; Schriftsteller";1923-12-25;Männlich;2015-11-04;Frankreich;
16;118778277;Kurz, Hermann;"Schriftsteller; Bibliothekar";1813-11-30;Männlich;1873-10-10;Deutschland;D
